,UnderwrittenCoverID,PolicyID,PostalCode,mmcode,RegistrationYear,Cylinders,cubiccapacity,kilowatts,NumberOfDoors,CustomValueEstimate,NumberOfVehiclesInFleet,SumInsured,CalculatedPremiumPerTerm,TotalPremium,TotalClaims
UnderwrittenCoverID,1.0,0.9029694562231537,-0.030963648015743934,0.05454254716927203,0.0826448381100494,-0.020951156059293125,0.06911891594184336,-0.041315277113002036,-0.02916908247423075,0.007691156264144946,,0.0023852546670103023,0.03253858958412622,0.027481294227851186,-0.000927997311912312
PolicyID,0.9029694562231537,1.0,-0.044293099117239984,0.0422806055999414,0.08240307116250549,-0.025011941794823096,0.06679764987529664,-0.03974402842825442,-0.02965901636421259,0.007530315041244635,,0.0019598557622845293,0.0294008139769124,0.02546964467438646,-0.0004509735729250582
PostalCode,-0.030963648015743934,-0.044293099117239984,1.0,0.08775830242173759,0.01874415815996567,-0.04272923060797185,-0.11092453559327414,-0.17688283774750035,0.0724887669368693,-0.010821489232193445,,0.0036325209648820043,0.01807148293185156,0.01666575515856119,0.00145231978477034
mmcode,0.05454254716927203,0.0422806055999414,0.08775830242173759,1.0,-0.08869664068264349,-0.10250530737680467,0.22119872540626365,0.0586261445924311,0.015129445438691838,-0.0011975943779626132,,-0.012393488842418178,-0.0014333746932741432,-0.00017790547102454935,-0.0021402536426368525
RegistrationYear,0.0826448381100494,0.08240307116250549,0.01874415815996567,-0.08869664068264349,1.0,-0.032293229878891924,0.12196484714771305,0.17887608902942467,0.07529981262097143,0.06406960262417438,,0.003291416681636261,0.07611907565477014,0.0760896763054146,0.0064487262870462966
Cylinders,-0.020951156059293125,-0.025011941794823096,-0.04272923060797185,-0.10250530737680467,-0.032293229878891924,1.0,0.27981375625241556,0.3132560955440613,-0.26447301766214665,0.005778369377265032,,0.001979578824713746,0.008155344178041403,0.008139666542659707,0.0004915548075449532
cubiccapacity,0.06911891594184336,0.06679764987529664,-0.11092453559327414,0.22119872540626365,0.12196484714771305,0.27981375625241556,1.0,0.5880596015988313,-0.26468420536859427,0.015219242438228529,,-0.005331405945539691,0.024395817552960785,0.026071469620761685,-6.845155157811218e-05
kilowatts,-0.041315277113002036,-0.03974402842825442,-0.17688283774750035,0.0586261445924311,0.17887608902942467,0.3132560955440613,0.5880596015988313,1.0,-0.09999009980516327,0.01219044853686087,,-0.004647969741754557,0.023924666038146934,0.025811448143135178,0.003197278687274776
NumberOfDoors,-0.02916908247423075,-0.02965901636421259,0.0724887669368693,0.015129445438691838,0.07529981262097143,-0.26447301766214665,-0.26468420536859427,-0.09999009980516327,1.0,-0.027088313821702216,,0.0006249954461598645,-0.002830167900989494,-0.0030961446205160074,0.0026431833620068597
CustomValueEstimate,0.007691156264144946,0.007530315041244635,-0.010821489232193445,-0.0011975943779626132,0.06406960262417438,0.005778369377265032,0.015219242438228529,0.01219044853686087,-0.027088313821702216,1.0,,-0.00023576547882688038,0.005907370995104495,0.006025338461167964,0.0003306089293100315
NumberOfVehiclesInFleet,,,,,,,,,,,,,,,
SumInsured,0.0023852546670103023,0.0019598557622845293,0.0036325209648820043,-0.012393488842418178,0.003291416681636261,0.001979578824713746,-0.005331405945539691,-0.004647969741754557,0.0006249954461598645,-0.00023576547882688038,,1.0,-0.05148899884663522,-0.054687296460677305,-0.006313970946086427
CalculatedPremiumPerTerm,0.03253858958412622,0.0294008139769124,0.01807148293185156,-0.0014333746932741432,0.07611907565477014,0.008155344178041403,0.024395817552960785,0.023924666038146934,-0.002830167900989494,0.005907370995104495,,-0.05148899884663522,1.0,0.9594689040962594,0.11698781359495872
TotalPremium,0.027481294227851186,0.02546964467438646,0.01666575515856119,-0.00017790547102454935,0.0760896763054146,0.008139666542659707,0.026071469620761685,0.025811448143135178,-0.0030961446205160074,0.006025338461167964,,-0.054687296460677305,0.9594689040962594,1.0,0.12201056915142638
TotalClaims,-0.000927997311912312,-0.0004509735729250582,0.00145231978477034,-0.0021402536426368525,0.0064487262870462966,0.0004915548075449532,-6.845155157811218e-05,0.003197278687274776,0.0026431833620068597,0.0003306089293100315,,-0.006313970946086427,0.11698781359495872,0.12201056915142638,1.0
